,原字,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
178,ངུ,,,ང,,,ུ,,
179,རྣ,,ར,ན,,,,,
180,ཨོ,,,ཨ,,,ོ,,
181,ཚར,,,ཚ,,,,ར,
182,ཉོ,,,ཉ,,,ོ,,
183,རལ,,,ར,,,,ལ,
184,ཀུ,,,ཀ,,,ུ,,
185,ཝང,,,ཝ,,,,ང,
186,བྷ,,,,,,,,
187,སང,,,ས,,,,ང,
188,ཕར,,,ཕ,,,,ར,
189,སླ,,,ས,ླ,,,,
190,ཨཱ,,,ཨ,ཱ,,,,
191,ཁྲ,,,ཁ,ྲ,,,,
192,གམ,,,ག,,,,མ,
193,ཕག,,,ཕ,,,,ག,
194,ནེ,,,ན,,,ེ,,
195,རག,,,ར,,,,ག,
196,ཧོ,,,ཧ,,,ོ,,
197,ཞན,,,ཞ,,,,ན,
198,མལ,,,མ,,,,ལ,
199,ཕམ,,,ཕ,,,,མ,
