,原字,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
64,བསྡིགས,བ,ས,ད,,,ི,ག,ས
65,སྤྱུགས,,ས,པ,ྱ,,ུ,ག,ས
66,འདྲོངས,འ,,ད,ྲ,,ོ,ང,ས
67,སྐྱེགས,,ས,ཀ,ྱ,,ེ,ག,ས
68,བསྟིམས,བ,ས,ཏ,,,ི,མ,ས
69,བསྒྲོན,བ,ས,ག,ྲ,,ོ,ན,
70,བརྒྱངས,བ,ར,ག,ྱ,,,ང,ས
71,བསྒུགས,བ,ས,ག,,,ུ,ག,ས
72,བཀླུབས,བ,,ཀ,ླ,,ུ,བ,ས
73,སྐྱེངས,,ས,ཀ,ྱ,,ེ,ང,ས
74,འཕྱུགས,འ,,ཕ,ྱ,,ུ,ག,ས
75,དཀྲིགས,ད,,ཀ,ྲ,,ི,ག,ས
76,དཀྲོགས,ད,,ཀ,ྲ,,ོ,ག,ས
77,བསྒྲེས,བ,ས,ག,ྲ,,ེ,ས,
78,འགྱིངས,འ,,ག,ྱ,,ི,ང,ས
79,བསྐུམས,བ,ས,ཀ,,,ུ,མ,ས
80,བསྒྲིབ,བ,ས,ག,ྲ,,ི,བ,
81,བསྙེམས,བ,ས,ཉ,,,ེ,མ,ས
82,འགྱོགས,འ,,ག,ྱ,,ོ,ག,ས
83,བསློགས,བ,,ས,ླ,,ོ,ག,ས
84,བརྡིབས,བ,ར,ད,,,ི,བ,ས
85,བསྐྱིས,བ,ས,ཀ,ྱ,,ི,ས,
86,བརྡེགས,བ,ར,ད,,,ེ,ག,ས
87,བརྒྱབས,བ,ར,ག,ྱ,,,བ,ས
88,བསྒྲོད,བ,ས,ག,ྲ,,ོ,ད,
89,སྐྱིབས,,ས,ཀ,ྱ,,ི,བ,ས
90,འདྲོགས,འ,,ད,ྲ,,ོ,ག,ས
91,བསྒྱེལ,བ,ས,ག,ྱ,,ེ,ལ,
92,དབྱུགས,ད,,བ,ྱ,,ུ,ག,ས
93,བསྐྱོར,བ,ས,ཀ,ྱ,,ོ,ར,
94,འཁྱུགས,འ,,ཁ,ྱ,,ུ,ག,ས
95,བསྙེངས,བ,ས,ཉ,,,ེ,ང,ས
96,སྐྱིགས,,ས,ཀ,ྱ,,ི,ག,ས
97,དཀྱོགས,ད,,ཀ,ྱ,,ོ,ག,ས
98,བསྒྲུན,བ,ས,ག,ྲ,,ུ,ན,
99,བསྐྱེལ,བ,ས,ཀ,ྱ,,ེ,ལ,
100,འཁྱོགས,འ,,ཁ,ྱ,,ོ,ག,ས
101,བརྒྱགས,བ,ར,ག,ྱ,,,ག,ས
102,བསྒྲིམ,བ,ས,ག,ྲ,,ི,མ,
103,འགྲེངས,འ,,ག,ྲ,,ེ,ང,ས
104,སྦྲེངས,,ས,བ,ྲ,,ེ,ང,ས
105,འགྱིགས,འ,,ག,ྱ,,ི,ག,ས
106,བསྐོངས,བ,ས,ཀ,,,ོ,ང,ས
107,བཀྱིགས,བ,,ཀ,ྱ,,ི,ག,ས
108,བསྐུངས,བ,ས,ཀ,,,ུ,ང,ས
109,བསྙུངས,བ,ས,ཉ,,,ུ,ང,ས
110,བསྔོགས,བ,ས,ང,,,ོ,ག,ས
111,རྒྱོབས,,ར,ག,ྱ,,ོ,བ,ས
112,སྒྲེགས,,ས,ག,ྲ,,ེ,ག,ས
113,འགྲིབས,འ,,ག,ྲ,,ི,བ,ས
114,བརྔུབས,བ,ར,ང,,,ུ,བ,ས
115,བསྡུམས,བ,ས,ད,,,ུ,མ,ས
116,བསྐྱུང,བ,ས,ཀ,ྱ,,ུ,ང,
117,སྒྲིམས,,ས,ག,ྲ,,ི,མ,ས
118,སྒྲིབས,,ས,ག,ྲ,,ི,བ,ས
119,བཟློགས,བ,,ཟ,ླ,,ོ,ག,ས
120,བསྒྲངས,བ,ས,ག,ྲ,,,ང,ས
121,འཁྱིམས,འ,,ཁ,ྱ,,ི,མ,ས
122,བརྒྱུག,བ,ར,ག,ྱ,,ུ,ག,
123,བཟླུམས,བ,,ཟ,ླ,,ུ,མ,ས
124,སྐྱུངས,,ས,ཀ,ྱ,,ུ,ང,ས
125,བགྲོངས,བ,,ག,ྲ,,ོ,ང,ས
126,རྒྱུངས,,ར,ག,ྱ,,ུ,ང,ས
127,དཀྲོངས,ད,,ཀ,ྲ,,ོ,ང,ས
128,བསྐྱུད,བ,ས,ཀ,ྱ,,ུ,ད,
129,བརྡུགས,བ,ར,ད,,,ུ,ག,ས
130,ཁྱེའུས,,,,,,,,
131,བསྟུངས,བ,ས,ཏ,,,ུ,ང,ས
132,འཕྲིགས,འ,,ཕ,ྲ,,ི,ག,ས
133,འགྲོངས,འ,,ག,ྲ,,ོ,ང,ས
134,དབྱུངས,ད,,བ,ྱ,,ུ,ང,ས
135,བསྐྲོད,བ,ས,ཀ,ྲ,,ོ,ད,
136,སྤྱིའུ,,,,,,,,
137,འཁྱོམས,འ,,ཁ,ྱ,,ོ,མ,ས
138,བགྲུངས,བ,,ག,ྲ,,ུ,ང,ས
139,བརྒྱུན,བ,ར,ག,ྱ,,ུ,ན,
140,བསྒོངས,བ,ས,ག,,,ོ,ང,ས
141,སྒྲོངས,,ས,ག,ྲ,,ོ,ང,ས
142,འཁྲེགས,འ,,ཁ,ྲ,,ེ,ག,ས
143,སྒྱེའུ,,,,,,,,
144,བསྣུམས,བ,ས,ན,,,ུ,མ,ས
145,བརྡེབས,བ,ར,ད,,,ེ,བ,ས
146,སྐྱོམས,,ས,ཀ,ྱ,,ོ,མ,ས
147,སྒྲེངས,,ས,ག,ྲ,,ེ,ང,ས
148,འབྱོརད,འ,,བ,ྱ,,ོ,ར,ད
149,སྤྱོམས,,ས,པ,ྱ,,ོ,མ,ས
150,བརྩེངས,བ,ར,ཙ,,,ེ,ང,ས
151,སྨྱུགས,,ས,མ,ྱ,,ུ,ག,ས
152,བརྣོགས,བ,ར,ན,,,ོ,ག,ས
153,བསྟུམས,བ,ས,ཏ,,,ུ,མ,ས
154,བསྩོགས,བ,ས,ཙ,,,ོ,ག,ས
155,བསྒྲོལ,བ,ས,ག,ྲ,,ོ,ལ,
156,བསྐྱོང,བ,ས,ཀ,ྱ,,ོ,ང,
157,རྐྱོངས,,ར,ཀ,ྱ,,ོ,ང,ས
158,བརྒྱུར,བ,ར,ག,ྱ,,ུ,ར,
159,འབྲེངས,འ,,བ,ྲ,,ེ,ང,ས
160,འབྲོངས,འ,,བ,ྲ,,ོ,ང,ས
