,原字,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
257,ལྷུན,,ལ,ཧ,,,ུ,ན,
258,མཛུབ,མ,,ཛ,,,ུ,བ,
259,བློན,,,བ,ླ,,ོ,ན,
260,བཅོལ,བ,,ཅ,,,ོ,ལ,
261,སྤོས,,ས,པ,,,ོ,ས,
262,དྲོད,,,ད,ྲ,,ོ,ད,
263,སྲིན,,,ས,ྲ,,ི,ན,
264,འཁུར,འ,,ཁ,,,ུ,ར,
265,ཁྲོམ,,,ཁ,ྲ,,ོ,མ,
266,རྩོལ,,ར,ཙ,,,ོ,ལ,
267,འཁྲི,འ,,ཁ,ྲ,,ི,,
268,འབོར,འ,,བ,,,ོ,ར,
269,ཟློས,,,ཟ,ླ,,ོ,ས,
270,རྒོལ,,ར,ག,,,ོ,ལ,
271,བཞེད,བ,,ཞ,,,ེ,ད,
272,བརྒལ,བ,ར,ག,,,,ལ,
273,གཅེས,ག,,ཅ,,,ེ,ས,
274,གོམས,,,ག,,,ོ,མ,ས
275,རྐྱང,,ར,ཀ,ྱ,,,ང,
276,རྒོད,,ར,ག,,,ོ,ད,
277,སྲོང,,,ས,ྲ,,ོ,ང,
278,བཀོལ,བ,,ཀ,,,ོ,ལ,
279,སྒོས,,ས,ག,,,ོ,ས,
280,རྫོབ,,ར,ཛ,,,ོ,བ,
281,བཀུར,བ,,ཀ,,,ུ,ར,
282,དབྱར,ད,,བ,ྱ,,,ར,
283,མྱེད,,,མ,ྱ,,ེ,ད,
284,འཐུང,འ,,ཐ,,,ུ,ང,
285,ལྷུང,,ལ,ཧ,,,ུ,ང,
286,བརྗེ,བ,ར,ཇ,,,ེ,,
287,མཐོར,མ,,ཐ,,,ོ,ར,
288,བསྐལ,བ,ས,ཀ,,,,ལ,
289,འགྲམ,འ,,ག,ྲ,,,མ,
290,ཕོངས,,,ཕ,,,ོ,ང,ས
291,དོགས,,,ད,,,ོ,ག,ས
292,བགྱི,བ,,ག,ྱ,,ི,,
293,འཕྲད,འ,,ཕ,ྲ,,,ད,
294,འབོད,འ,,བ,,,ོ,ད,
295,བསམས,བ,,ས,,,,མ,ས
296,སྐུར,,ས,ཀ,,,ུ,ར,
297,དགུང,ད,,ག,,,ུ,ང,
298,སྤྲད,,ས,པ,ྲ,,,ད,
299,ཕྲུག,,,ཕ,ྲ,,ུ,ག,
