,原字,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
42,དགེ,ད,,ག,,,ེ,,
43,མཚན,མ,,ཚ,,,,ན,
44,ཤིང,,,ཤ,,,ི,ང,
45,རྡོ,,ར,ད,,,ོ,,
46,མཚོ,མ,,ཚ,,,ོ,,
47,བྱང,,,བ,ྱ,,,ང,
48,བཅུ,བ,,ཅ,,,ུ,,
49,སྒོ,,ས,ག,,,ོ,,
50,རིང,,,ར,,,ི,ང,
51,ཁུལ,,,ཁ,,,ུ,ལ,
52,སྣང,,ས,ན,,,,ང,
53,གསལ,ག,,ས,,,,ལ,
54,ཐོག,,,ཐ,,,ོ,ག,
55,ཐོན,,,ཐ,,,ོ,ན,
56,ལེན,,,ལ,,,ེ,ན,
57,བསམ,བ,,ས,,,,མ,
58,ལུས,,,ལ,,,ུ,ས,
59,སྐད,,ས,ཀ,,,,ད,
60,ཅིང,,,ཅ,,,ི,ང,
61,སྐུ,,ས,ཀ,,,ུ,,
62,མཉམ,མ,,ཉ,,,,མ,
63,ཅེས,,,ཅ,,,ེ,ས,
64,ནུས,,,ན,,,ུ,ས,
65,ཅིག,,,ཅ,,,ི,ག,
66,སྡེ,,ས,ད,,,ེ,,
67,འདྲ,འ,,ད,ྲ,,,,
68,མཛད,མ,,ཛ,,,,ད,
69,ཡིག,,,ཡ,,,ི,ག,
70,དཔལ,ད,,པ,,,,ལ,
71,ཕྱི,,,ཕ,ྱ,,ི,,
72,ཉིན,,,ཉ,,,ི,ན,
73,གསོ,ག,,ས,,,ོ,,
74,བློ,,,བ,ླ,,ོ,,
75,སངས,,,ས,,,,ང,ས
76,བཟང,བ,,ཟ,,,,ང,
77,ཐོབ,,,ཐ,,,ོ,བ,
78,བཏང,བ,,ཏ,,,,ང,
79,ཐུབ,,,ཐ,,,ུ,བ,
80,ཡོན,,,ཡ,,,ོ,ན,
81,ཟེར,,,ཟ,,,ེ,ར,
82,ཆུང,,,ཆ,,,ུ,ང,
83,ཁྱབ,,,ཁ,ྱ,,,བ,
84,མཐའ,མ,,ཐ,,,,འ,
85,ཚིག,,,ཚ,,,ི,ག,
86,དགའ,ད,,ག,,,,འ,
87,ངེས,,,ང,,,ེ,ས,
88,ཁྱད,,,ཁ,ྱ,,,ད,
89,ཐབས,,,ཐ,,,,བ,ས
90,ཞིབ,,,ཞ,,,ི,བ,
91,སྨན,,ས,མ,,,,ན,
92,གཙོ,ག,,ཙ,,,ོ,,
93,འདས,འ,,ད,,,,ས,
94,ལྷག,,ལ,ཧ,,,,ག,
95,རྩལ,,ར,ཙ,,,,ལ,
96,མིན,,,མ,,,ི,ན,
97,དཀར,ད,,ཀ,,,,ར,
98,ཁམས,,,ཁ,,,,མ,ས
99,རིན,,,ར,,,ི,ན,
100,དེས,,,ད,,,ེ,ས,
101,ཕྱག,,,ཕ,ྱ,,,ག,
102,དཔེ,ད,,པ,,,ེ,,
103,གོང,,,ག,,,ོ,ང,
104,འགན,འ,,ག,,,,ན,
105,ཆུབ,,,ཆ,,,ུ,བ,
106,ཡིད,,,ཡ,,,ི,ད,
107,ཆགས,,,ཆ,,,,ག,ས
108,རོལ,,,ར,,,ོ,ལ,
109,ཁྲི,,,ཁ,ྲ,,ི,,
110,དཔའ,ད,,པ,,,,འ,
111,པོར,,,པ,,,ོ,ར,
112,སོང,,,ས,,,ོ,ང,
113,སྒྲ,,,,,,,,
114,འོད,,,འ,,,ོ,ད,
115,མིང,,,མ,,,ི,ང,
116,གནང,ག,,ན,,,,ང,
117,མཁན,མ,,ཁ,,,,ན,
118,ཉམས,,,ཉ,,,,མ,ས
119,འདུ,འ,,ད,,,ུ,,
120,མིག,,,མ,,,ི,ག,
121,དེར,,,ད,,,ེ,ར,
122,གཏན,ག,,ཏ,,,,ན,
123,མཁའ,མ,,ཁ,,,,འ,
124,ཡོང,,,ཡ,,,ོ,ང,
125,ཟིན,,,ཟ,,,ི,ན,
126,མདོ,མ,,ད,,,ོ,,
127,ཚེས,,,ཚ,,,ེ,ས,
128,རུང,,,ར,,,ུ,ང,
129,ཡིས,,,ཡ,,,ི,ས,
130,སྔར,,ས,ང,,,,ར,
131,ནོར,,,ན,,,ོ,ར,
132,ཆེད,,,ཆ,,,ེ,ད,
133,ལུང,,,ལ,,,ུ,ང,
134,མཐོ,མ,,ཐ,,,ོ,,
135,སུམ,,,ས,,,ུ,མ,
136,བཀའ,བ,,ཀ,,,,འ,
137,ཞབས,,,ཞ,,,,བ,ས
138,མཁས,མ,,ཁ,,,,ས,
139,འཚོ,འ,,ཚ,,,ོ,,
140,གནད,ག,,ན,,,,ད,
141,བཟོ,བ,,ཟ,,,ོ,,
142,རབས,,,ར,,,,བ,ས
143,དུང,,,ད,,,ུ,ང,
144,བཞག,བ,,ཞ,,,,ག,
145,རྫས,,ར,ཛ,,,,ས,
146,ཁོང,,,ཁ,,,ོ,ང,
147,སྙན,,ས,ཉ,,,,ན,
148,རྩེ,,ར,ཙ,,,ེ,,
149,ལྷན,,ལ,ཧ,,,,ན,
150,ཚོད,,,ཚ,,,ོ,ད,
151,ཤིན,,,ཤ,,,ི,ན,
152,པོས,,,པ,,,ོ,ས,
153,མགོ,མ,,ག,,,ོ,,
154,གྲྭ,,,ག,ྲ,ྭ,,,
155,ངོས,,,ང,,,ོ,ས,
156,ཤིག,,,ཤ,,,ི,ག,
157,བྲལ,,,བ,ྲ,,,ལ,
158,འོག,,,འ,,,ོ,ག,
159,རྟག,,ར,ཏ,,,,ག,
160,དཀའ,ད,,ཀ,,,,འ,
161,དགུ,ད,,ག,,,ུ,,
162,མཐར,མ,,ཐ,,,,ར,
163,གསང,ག,,ས,,,,ང,
164,ལོག,,,ལ,,,ོ,ག,
165,ཚོང,,,ཚ,,,ོ,ང,
166,དམར,ད,,མ,,,,ར,
167,དྲི,,,ད,ྲ,,ི,,
168,འགོ,འ,,ག,,,ོ,,
169,རྒན,,ར,ག,,,,ན,
170,ཏོག,,,ཏ,,,ོ,ག,
171,གཙང,ག,,ཙ,,,,ང,
172,ཚོར,,,ཚ,,,ོ,ར,
173,འཆར,འ,,ཆ,,,,ར,
174,དམག,ད,,མ,,,,ག,
175,ཆོག,,,ཆ,,,ོ,ག,
176,ཐོས,,,ཐ,,,ོ,ས,
177,ལྷོ,,ལ,ཧ,,,ོ,,
178,ཚོས,,,ཚ,,,ོ,ས,
179,ལོར,,,ལ,,,ོ,ར,
180,བོར,,,བ,,,ོ,ར,
181,དྲན,,,ད,ྲ,,,ན,
182,སྙམ,,ས,ཉ,,,,མ,
183,ཐུན,,,ཐ,,,ུ,ན,
184,ཆེས,,,ཆ,,,ེ,ས,
185,རྐང,,ར,ཀ,,,,ང,
186,ཤོག,,,ཤ,,,ོ,ག,
187,རྣལ,,ར,ན,,,,ལ,
188,བྲག,,,བ,ྲ,,,ག,
189,དྲག,,,ད,ྲ,,,ག,
190,མོས,,,མ,,,ོ,ས,
191,ཐེག,,,ཐ,,,ེ,ག,
192,ཇུས,,,ཇ,,,ུ,ས,
193,ཆེར,,,ཆ,,,ེ,ར,
194,བཅད,བ,,ཅ,,,,ད,
195,འགལ,འ,,ག,,,,ལ,
196,ལགས,,,ལ,,,,ག,ས
197,གཏམ,ག,,ཏ,,,,མ,
198,བྱེ,,,བ,ྱ,,ེ,,
199,སོར,,,ས,,,ོ,ར,
200,ཉེས,,,ཉ,,,ེ,ས,
201,བརྡ,,,,,,,,
202,ཕུལ,,,ཕ,,,ུ,ལ,
203,ནུབ,,,ན,,,ུ,བ,
204,སེལ,,,ས,,,ེ,ལ,
205,བོན,,,བ,,,ོ,ན,
206,སྨྲ,,,,,,,,
207,རིས,,,ར,,,ི,ས,
208,དབུ,ད,,བ,,,ུ,,
209,ཉོན,,,ཉ,,,ོ,ན,
210,འགའ,འ,,ག,,,,འ,
211,སེར,,,ས,,,ེ,ར,
212,གོས,,,ག,,,ོ,ས,
213,དགྲ,ད,,ག,ྲ,,,,
214,བཙན,བ,,ཙ,,,,ན,
215,ཞུས,,,ཞ,,,ུ,ས,
216,འབབ,འ,,བ,,,,བ,
217,ཤིས,,,ཤ,,,ི,ས,
218,བཀྲ,བ,,ཀ,ྲ,,,,
219,བུར,,,བ,,,ུ,ར,
220,ཡུན,,,ཡ,,,ུ,ན,
221,སྲས,,,ས,ྲ,,,ས,
222,གླུ,,,ག,ླ,,ུ,,
223,ཕུང,,,ཕ,,,ུ,ང,
224,དེབ,,,ད,,,ེ,བ,
225,ཉེར,,,ཉ,,,ེ,ར,
226,རྩི,,ར,ཙ,,,ི,,
227,མོང,,,མ,,,ོ,ང,
228,འོང,,,འ,,,ོ,ང,
229,འཕར,འ,,ཕ,,,,ར,
230,དཔག,ད,,པ,,,,ག,
231,ཅུང,,,ཅ,,,ུ,ང,
232,ཚུན,,,ཚ,,,ུ,ན,
233,ཀླུ,,,ཀ,ླ,,ུ,,
234,འཇམ,འ,,ཇ,,,,མ,
235,གནམ,ག,,ན,,,,མ,
236,གདན,ག,,ད,,,,ན,
237,ཉུང,,,ཉ,,,ུ,ང,
238,ཐིག,,,ཐ,,,ི,ག,
239,དེང,,,ད,,,ེ,ང,
240,བཅའ,བ,,ཅ,,,,འ,
241,བུད,,,བ,,,ུ,ད,
242,སྤང,,ས,པ,,,,ང,
243,ཏིང,,,ཏ,,,ི,ང,
244,གཡས,ག,,ཡ,,,,ས,
245,བུམ,,,བ,,,ུ,མ,
246,ཅིན,,,ཅ,,,ི,ན,
247,ལྟེ,,ལ,ཏ,,,ེ,,
248,ཡུག,,,ཡ,,,ུ,ག,
249,མངའ,མ,,ང,,,,འ,
250,གྲུ,,,ག,ྲ,,ུ,,
251,འཆད,འ,,ཆ,,,,ད,
252,འོས,,,འ,,,ོ,ས,
253,ཕྲག,,,ཕ,ྲ,,,ག,
254,ཟུང,,,ཟ,,,ུ,ང,
255,མོད,,,མ,,,ོ,ད,
256,འཚལ,འ,,ཚ,,,,ལ,
257,འགག,འ,,ག,,,,ག,
258,འཐབ,འ,,ཐ,,,,བ,
259,སླར,,,ས,ླ,,,ར,
260,ནམས,,,ན,,,,མ,ས
261,འཆི,འ,,ཆ,,,ི,,
262,བཏབ,བ,,ཏ,,,,བ,
263,ཁྲག,,,ཁ,ྲ,,,ག,
264,ཐུག,,,ཐ,,,ུ,ག,
265,ཁོར,,,ཁ,,,ོ,ར,
266,གཞག,ག,,ཞ,,,,ག,
267,ཕུན,,,ཕ,,,ུ,ན,
268,འཛམ,འ,,ཛ,,,,མ,
269,དུད,,,ད,,,ུ,ད,
270,མཁོ,མ,,ཁ,,,ོ,,
271,ཉེན,,,ཉ,,,ེ,ན,
272,འབར,འ,,བ,,,,ར,
273,ཤུལ,,,ཤ,,,ུ,ལ,
274,སྐར,,ས,ཀ,,,,ར,
275,འོན,,,འ,,,ོ,ན,
276,གངས,,,ག,,,,ང,ས
277,ཕྱེ,,,ཕ,ྱ,,ེ,,
278,སྨད,,ས,མ,,,,ད,
279,རེས,,,ར,,,ེ,ས,
280,གུང,,,ག,,,ུ,ང,
281,ལོང,,,ལ,,,ོ,ང,
282,ཁུར,,,ཁ,,,ུ,ར,
283,སྐྱ,,,,,,,,
284,སྣེ,,ས,ན,,,ེ,,
285,ཡུམ,,,ཡ,,,ུ,མ,
286,བཟའ,བ,,ཟ,,,,འ,
287,ཤོས,,,ཤ,,,ོ,ས,
288,མཁར,མ,,ཁ,,,,ར,
289,དགག,ད,,ག,,,,ག,
290,ཁྲོ,,,ཁ,ྲ,,ོ,,
291,ཚགས,,,ཚ,,,,ག,ས
292,སྟག,,ས,ཏ,,,,ག,
293,ལོན,,,ལ,,,ོ,ན,
294,མདའ,མ,,ད,,,,འ,
295,འབད,འ,,བ,,,,ད,
296,རྩྭ,,,,,,,,
297,སེང,,,ས,,,ེ,ང,
298,ཆོད,,,ཆ,,,ོ,ད,
299,དུག,,,ད,,,ུ,ག,
