,原字,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
192,འགྲིབ,འ,,ག,ྲ,,ི,བ,
193,བརྒྱར,བ,ར,ག,ྱ,,,ར,
194,བསླབས,བ,ས,ལ,,,,བ,ས
195,བྱུགས,,,བ,ྱ,,ུ,ག,ས
196,རྩིབས,,ར,ཙ,,,ི,བ,ས
197,གཞོགས,ག,,ཞ,,,ོ,ག,ས
198,འབྲུམ,འ,,བ,ྲ,,ུ,མ,
199,འབྲངས,འ,,བ,ྲ,,,ང,ས
200,འབྲོང,འ,,བ,ྲ,,ོ,ང,
201,བསྒྲལ,བ,ས,ག,ྲ,,,ལ,
202,སྨྱུག,,ས,མ,ྱ,,ུ,ག,
203,བསྐོལ,བ,ས,ཀ,,,ོ,ལ,
204,སྐྱིལ,,ས,ཀ,ྱ,,ི,ལ,
205,བརྫུན,བ,ར,ཛ,,,ུ,ན,
206,དཀྲིས,ད,,ཀ,ྲ,,ི,ས,
207,འཕྱུར,འ,,ཕ,ྱ,,ུ,ར,
208,འཁྱགས,འ,,ཁ,ྱ,,,ག,ས
209,བགྲེས,བ,,ག,ྲ,,ེ,ས,
210,འགྲིལ,འ,,ག,ྲ,,ི,ལ,
211,བརྡུང,བ,ར,ད,,,ུ,ང,
212,སྤྲེལ,,ས,པ,ྲ,,ེ,ལ,
213,འགྲོར,འ,,ག,ྲ,,ོ,ར,
214,མཚེའུ,,,,,,,,
215,དབྱིང,ད,,བ,ྱ,,ི,ང,
216,ལྡེབས,,ལ,ད,,,ེ,བ,ས
217,རྒྱགས,,ར,ག,ྱ,,,ག,ས
218,བཀླགས,བ,,ཀ,ླ,,,ག,ས
219,དབྱིག,ད,,བ,ྱ,,ི,ག,
220,བསྣུན,བ,ས,ན,,,ུ,ན,
221,དཀྲོལ,ད,,ཀ,ྲ,,ོ,ལ,
222,འཁྱམས,འ,,ཁ,ྱ,,,མ,ས
223,འབྱོན,འ,,བ,ྱ,,ོ,ན,
224,བརླིང,བ,ར,ལ,,,ི,ང,
225,སྲུངས,,,ས,ྲ,,ུ,ང,ས
226,བཀྲུས,བ,,ཀ,ྲ,,ུ,ས,
227,བསྐྲད,བ,ས,ཀ,ྲ,,,ད,
228,བཀྲོལ,བ,,ཀ,ྲ,,ོ,ལ,
229,སྨྱོན,,ས,མ,ྱ,,ོ,ན,
230,བཏེགས,བ,,ཏ,,,ེ,ག,ས
231,བརྒྱལ,བ,ར,ག,ྱ,,,ལ,
232,སྦུབས,,ས,བ,,,ུ,བ,ས
233,སྦྲུམ,,ས,བ,ྲ,,ུ,མ,
234,སྐྲངས,,ས,ཀ,ྲ,,,ང,ས
235,སྐྱུག,,ས,ཀ,ྱ,,ུ,ག,
236,ཁྲུའུ,,,,,,,,
237,འགྱངས,འ,,ག,ྱ,,,ང,ས
238,འགྱིང,འ,,ག,ྱ,,ི,ང,
239,འཁྲིག,འ,,ཁ,ྲ,,ི,ག,
240,བལྟམས,བ,ལ,ཏ,,,,མ,ས
241,འཁྱུག,འ,,ཁ,ྱ,,ུ,ག,
242,ལྕོགས,,ལ,ཅ,,,ོ,ག,ས
243,འཁྱོག,འ,,ཁ,ྱ,,ོ,ག,
244,ལྡེའུ,,,,,,,,
245,བཀྲེས,བ,,ཀ,ྲ,,ེ,ས,
246,གདེངས,ག,,ད,,,ེ,ང,ས
247,འཛེགས,འ,,ཛ,,,ེ,ག,ས
248,འཕྲེད,འ,,ཕ,ྲ,,ེ,ད,
249,འགྱིག,འ,,ག,ྱ,,ི,ག,
250,འགྲེང,འ,,ག,ྲ,,ེ,ང,
251,འཐུངས,འ,,ཐ,,,ུ,ང,ས
252,བསྣོལ,བ,ས,ན,,,ོ,ལ,
253,སྟོངས,,ས,ཏ,,,ོ,ང,ས
254,བསྔོས,བ,ས,ང,,,ོ,ས,
255,གཟིངས,ག,,ཟ,,,ི,ང,ས
256,སྡིགས,,ས,ད,,,ི,ག,ས
257,སྤོགས,,ས,པ,,,ོ,ག,ས
258,བརྗེས,བ,ར,ཇ,,,ེ,ས,
259,སྒྲོས,,ས,ག,ྲ,,ོ,ས,
260,འགྱེལ,འ,,ག,ྱ,,ེ,ལ,
261,བསྐངས,བ,ས,ཀ,,,,ང,ས
262,སྒེའུ,,,,,,,,
263,བསྲེལ,བ,,ས,ྲ,,ེ,ལ,
264,བགྲངས,བ,,ག,ྲ,,,ང,ས
265,ལྟོགས,,ལ,ཏ,,,ོ,ག,ས
266,བསྒོས,བ,ས,ག,,,ོ,ས,
267,འཕིགས,འ,,ཕ,,,ི,ག,ས
268,གྲོངས,,,ག,ྲ,,ོ,ང,ས
269,འབྲོམ,འ,,བ,ྲ,,ོ,མ,
270,བྱིའུ,,,,,,,,
271,འདྲིལ,འ,,ད,ྲ,,ི,ལ,
272,སྐྱིན,,ས,ཀ,ྱ,,ི,ན,
273,བསྲིང,བ,,ས,ྲ,,ི,ང,
274,སྒྲེང,,ས,ག,ྲ,,ེ,ང,
275,བསླུས,བ,ས,ལ,,,ུ,ས,
276,བརྐུས,བ,ར,ཀ,,,ུ,ས,
277,བརྡེག,བ,ར,ད,,,ེ,ག,
278,མཆོངས,མ,,ཆ,,,ོ,ང,ས
279,གཟིམས,ག,,ཟ,,,ི,མ,ས
280,གདུངས,ག,,ད,,,ུ,ང,ས
281,སྐྱེར,,ས,ཀ,ྱ,,ེ,ར,
282,སྡིངས,,ས,ད,,,ི,ང,ས
283,བསྟིམ,བ,ས,ཏ,,,ི,མ,
284,འབུངས,འ,,བ,,,ུ,ང,ས
285,དབྱེན,ད,,བ,ྱ,,ེ,ན,
286,བརྡོལ,བ,ར,ད,,,ོ,ལ,
287,བརྒྱས,བ,ར,ག,ྱ,,,ས,
288,རྨུགས,,ར,མ,,,ུ,ག,ས
289,བསྐྱང,བ,ས,ཀ,ྱ,,,ང,
290,ལྐུགས,,ལ,ཀ,,,ུ,ག,ས
291,རྡེའུ,,,,,,,,
292,བྱེའུ,,,,,,,,
293,བརྟོལ,བ,ར,ཏ,,,ོ,ལ,
294,བཙོངས,བ,,ཙ,,,ོ,ང,ས
295,བསྙོན,བ,ས,ཉ,,,ོ,ན,
296,འཁྱུར,འ,,ཁ,ྱ,,ུ,ར,
297,སྒྱིད,,ས,ག,ྱ,,ི,ད,
298,དཀྲུག,ད,,ཀ,ྲ,,ུ,ག,
299,སྨྲོས,,ས,མ,ྲ,,ོ,ས,
